Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.875,-87.8625,-90,top
C2,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.415,-87.845,-90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.7,-87.8625,-90,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.16,-87.88,-90,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.026,-119.634,180,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.026,-112.014,180,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.2525,-102.87,180,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.8825,-102.87,180,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,119.38,-99.06,90,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,133.5235,-115.824,90,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,144.78,-66.62,-90,top
J6,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,158.75,-99.06,90,top
R1,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.656,-99.116,-90,top
R2,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.656,-106.196,90,top
R3,DNF,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.29,-112.395,0,top
R4,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.29,-109.855,0,top
R5,DNF,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.92,-112.395,0,top
R6,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.92,-109.855,0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.08,-78.105,180,top
SW1,SW_SPST,SW_PUSH_6mm,163.98,-88.9,180,top
SW2,SW_SPST,SW_PUSH_6mm,163.98,-78.16,180,top
SW3,SW_SPST,SW_PUSH_6mm,117.96,-74.24,0,top
SW4,SW_SPST,SW_PUSH_6mm,124.46,-88.9,180,top
SW5,SW_SPST,PinSocket_1x02_P2.54mm_Vertical,160.02,-67.31,-90,top
SW6,RotaryEncoder_Switch,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,133.466,-100.116,0,top
U1,STM32G071CBU3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,141.097,-78.177,90,top
U2,LM1117MP-3.3,SOT-223-3_TabPin2,145.186,-115.824,0,top
U3,AS321KTR-G1,SOT-23-5,160.1525,-106.36,0,top
U4,AS321KTR-G1,SOT-23-5,120.7825,-106.36,0,top
