"Reference","Value","Footprint","Datasheet","Field5","LCSC MPN","Qty"
"C1, C3, C7, C8","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/2201271030_YAGEO-CC0805KRX7R6BB104_C1852967.pdf","","C1852967","4"
"C2","4.7uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/2208151830_Walsin-Tech-Corp-0805F475Z100CT_C5122271.pdf","","C967590","1"
"C4","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810191224_Samsung-Electro-Mechanics-CL21B105KPFNNNE_C107367.pdf","","C107367","1"
"C5, C6","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/2210281800_VIIYONG-V106K0805X5R250NHP_C5240379.pdf","","C5240379","2"
"J1","Conn_02x05_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","https://datasheet.lcsc.com/lcsc/2201121700_XFCN-PZ127VS-12-10-H10-A38_C2935458.pdf","","C2935458","1"
"J2, J6","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","2"
"J4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","1"
"J5","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","1"
"R1, R2","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://datasheet.lcsc.com/lcsc/2205131800_VO-SCR0805J4K7_C3017854.pdf","","C3017854","2"
"R3, R5","DNF","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","2"
"R4, R6","0R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://datasheet.lcsc.com/lcsc/2111021130_FOJAN-FRC0805P000-TS_C2907288.pdf","","C2907288","2"
"R10","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://datasheet.lcsc.com/lcsc/2304140030_RALEC-RTT05103JTP_C103914.pdf","","C103914","1"
"SW1-SW4","SW_SPST","Button_Switch_THT:SW_PUSH_6mm","~","","","4"
"SW5","SW_SPST","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","1"
"SW6","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","~","","","1"
"TP1-TP4","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","","4"
"U1","STM32G071CBU3","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32g071cb.pdf","","C724076","1"
"U2","LM1117MP-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://datasheet.lcsc.com/lcsc/2204131745_Shenzhen-Fuman-Elec-AMS1117-3-3V_C173386.pdf","","C173386","1"
"U3, U4","AS321KTR-G1","Package_TO_SOT_SMD:SOT-23-5","https://datasheet.lcsc.com/lcsc/1809191840_Diodes-Incorporated-AS321KTR-G1_C144156.pdf","","C144156","2"
